,word,part_of_speech,frequency
996,arriverderci,noun,2
999,wear,noun,2
1004,wilt,noun,2
1013,match,noun,2
1014,tennessee,noun,2
1015,drinker,noun,2
1016,week,noun,2
1036,stare,noun,2
1037,boil,noun,2
1038,fry,noun,2
1040,monster,noun,2
1047,train,noun,2
1051,smoke,noun,2
1063,symphony,noun,2
1065,lane,noun,2
1067,snowman,noun,2
1068,figghiuzza,noun,2
1069,mia,noun,2
1070,lariulà,noun,2
1071,pesce,noun,2
1082,yesterday,noun,2
1083,squeak,noun,2
1086,trick,noun,2
1094,carry,noun,2
1116,cradle,noun,2
1117,cuddle,noun,2
1136,coal,noun,2
1142,help,noun,2
1146,forevermore,noun,2
1162,tip,noun,2
1167,stardust,noun,2
1172,orange,noun,2
1176,timber,noun,2
1178,glass,noun,2
1183,dot,noun,2
1185,demand,noun,2
1188,grab,noun,2
1194,oyster,noun,2
1198,lark,noun,2
1199,dove,noun,2
1203,pharaoh,noun,2
1207,point,noun,2
1210,creeper,noun,2
1211,peeper,noun,2
1220,weave,noun,2
1221,shark,noun,2
1228,body,noun,2
1230,cement,noun,2
1242,cat,noun,2
1250,shoulder,noun,2
1252,dee,noun,2
1255,munchin,noun,2
1260,breaking,noun,2
1263,elite,noun,2
1264,mississippi,noun,2
1273,church,noun,2
1278,nebuchadnezzer,noun,2
1279,idol,noun,2
1282,horn,noun,2
1288,talkin,noun,2
1289,vow,noun,2
1292,comb,noun,2
1298,dog,noun,2
1316,crave,noun,2
1317,longin,noun,2
1318,linger,noun,2
1319,dawn,noun,2
1344,leg,noun,2
1350,blossom,noun,2
1351,failure,noun,2
1355,fulfillment,noun,2
1356,secret,noun,2
1357,bolt,noun,2
1373,heebie,noun,2
1379,flea,noun,2
1405,sunset,noun,2
1406,groanie,noun,2
1407,stocking,noun,2
1419,tomato,noun,2
1426,steamin,noun,2
1438,preach,noun,2
1446,shade,noun,2
1448,cent,noun,2
1450,dust,noun,2
326,curtain,noun,1
328,state,noun,1
334,regret,noun,1
335,exemption,noun,1
337,chart,noun,1
